file,hhID,fileName,fullPath,fSize,fMTime,fMDate,dateColName,dateExample,dateFormat
rf_06/18Apr2017-19Apr2017at1.csv,rf_06,18Apr2017-19Apr2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Apr2017-19Apr2017at1.csv,2751,2017-04-19T16:03:03Z,2017-04-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Apr2018-19Apr2018at1.csv,rf_06,18Apr2018-19Apr2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Apr2018-19Apr2018at1.csv,156682,2018-04-19T16:03:04Z,2018-04-19,date UTC,2018-04-17,ymd - definite
rf_06/18Aug2017-19Aug2017at1.csv,rf_06,18Aug2017-19Aug2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Aug2017-19Aug2017at1.csv,2751,2017-08-19T16:03:03Z,2017-08-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Dec2017-19Dec2017at1.csv,rf_06,18Dec2017-19Dec2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Dec2017-19Dec2017at1.csv,155278,2017-12-19T15:03:04Z,2017-12-19,date UTC,2017-12-17,ymd - definite
rf_06/18Feb2017-19Feb2017at1.csv,rf_06,18Feb2017-19Feb2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Feb2017-19Feb2017at1.csv,2751,2017-02-19T15:03:03Z,2017-02-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Feb2018-19Feb2018at1.csv,rf_06,18Feb2018-19Feb2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Feb2018-19Feb2018at1.csv,153841,2018-02-19T15:03:04Z,2018-02-19,date UTC,2018-02-17,ymd - definite
rf_06/18Jan2017-19Jan2017at1.csv,rf_06,18Jan2017-19Jan2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jan2017-19Jan2017at1.csv,2751,2017-01-19T15:03:04Z,2017-01-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Jan2018-19Jan2018at1.csv,rf_06,18Jan2018-19Jan2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jan2018-19Jan2018at1.csv,156007,2018-01-19T15:03:05Z,2018-01-19,date UTC,2018-01-17,ymd - definite
rf_06/18Jul2017-19Jul2017at1.csv,rf_06,18Jul2017-19Jul2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jul2017-19Jul2017at1.csv,2751,2017-07-19T16:03:03Z,2017-07-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Jul2018-19Jul2018at1.csv,rf_06,18Jul2018-19Jul2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jul2018-19Jul2018at1.csv,156156,2018-07-19T16:03:06Z,2018-07-19,date UTC,2018-07-17,ymd - definite
